,SKU,,,Product Name
,HW2784GK,,,V-Core 3 Enclosure Kit - 300mm (No panels or Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2775GK,,,V-Core 3 Enclosure - Base Parts (All sizes)
1,HW2776GK,,,V-Core 3 Enclosure - 300mm Specific Parts
,,,,
,,,,
,SKU,,,Product Name
,HW2785GK,,,V-Core 3 Enclosure Kit - 400mm (No panels or Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2775GK,,,V-Core 3 Enclosure - Base Parts (All sizes)
1,HW2777GK,,,V-Core 3 Enclosure - 400mm Specific Parts
,,,,
,,,,
,SKU,,,Product Name
,HW2786GK,,,V-Core 3 Enclosure Kit - 500mm (No panels or Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2775GK,,,V-Core 3 Enclosure - Base Parts (All sizes)
1,HW2778GK,,,V-Core 3 Enclosure - 500mm Specific Parts
,,,,
,SKU,,,Product Name
,HW2775GK,,,V-Core 3 Enclosure - Base Parts (All sizes)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,HW306BRC,264,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,261,,T-SLOT 3030 - Black Anodized 1000mm
4,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
16,HW1507SC,,,Cap Head Screw M3 (Single) (Length: 16mm)
2,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
8,HW1288SC,,,Cap Head Screw M4 (Single) (Length: 10mm)
3,HW2116SC,,,Cap Head Screw M5 (Single) (Length: 12mm)
4,HW2136SC,,,Cap Head Screw M5 (Single) (Length: 60mm)
184,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
6,HW2827SC,,,Cap Head Screw M6 (Single) (Length: 16mm)
2,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
20,HW2173SC,,,Countersink Screw M6 (Single) (Length: 14mm)
4,HW2772SC,,,Countersink Screw M8 (Single) (Length: 12mm)
2,HW2771GC,,,Gas Strut 10KG (100N) - Black
16,HW1819NC,,,Hex Locking Nut - M3 Black
8,HW1311NC,,,Hex Locking Nut - M6
2,HW1820NC,,,Hex Nut - M3 Black 12.9 Steel
3,HW1848GC,,,Hinge - Black thermoplastic - for 3030
2,HW1305BC,,,Inside Hidden Corner Bracket - for 3030
14,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
4,HW2828GC,,,Magnet - Neodymium disc shape - 10mm x 4mm
1,HW2830GC,,,PTFE Tube Generic - OD 4mm ID 3mm - 1000mm
4,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
8,HW2774NC,,,T-Nut - Drop In for 3030 - M4 (Single)
3,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
202,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
3,HW1555GC,,,V-Slot Door Handle
102,HW2746NC,,,Washer Simple M6 - Black 12.9 Steel
,,,,
,,,,
,SKU,,,Product Name
,HW2776GK,,,V-Core 3 Enclosure - 300mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
6,HW306BRC,440,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,505,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,553,X,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,SKU,,,Product Name
,HW2777GK,,,V-Core 3 Enclosure - 400mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
6,HW306BRC,540,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,605,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,653,X,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,SKU,,,Product Name
,HW2778GK,,,V-Core 3 Enclosure - 500mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
6,HW306BRC,640,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,705,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,753,X,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2779GK,,,V-Core 3 Enclosure - 300mm Panel Set (Polycarbonate 4mm)
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,,498x485,,panel_base_300
2,,510x248,,panel_door_300
1,,500x480,,panel_electronics_plain_300
1,,500x300,,panel_lid_back_300
1,,500x300,,panel_lid_front_300
2,,565x300,,panel_lid_side_300
1,,500x535,,panel_lid_top_300
1,,565x510,,panel_side_left_300
1,,565x510,,panel_side_right_300
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2780GK,,,V-Core 3 Enclosure - 400mm Panel Set (Polycarbonate 4mm)
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,,598x585,,panel_base_400
2,,610x298,,panel_door_400
1,,600x580,,panel_electronics_plain_400
1,,600x300,,panel_lid_back_400
1,,600x300,,panel_lid_front_400
2,,665x300,,panel_lid_side_400
1,,600x635,,panel_lid_top_400
1,,665x610,,panel_side_left_400
1,,665x610,,panel_side_right_400
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2781GK,,,V-Core 3 Enclosure - 500mm Panel Set (Polycarbonate 4mm)
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,,698x685,,panel_base_500
2,,710x348,,panel_door_500
1,,700x680,,panel_electronics_plain_500
1,,700x300,,panel_lid_back_500
1,,700x300,,panel_lid_front_500
2,,765x300,,panel_lid_side_500
1,,700x735,,panel_lid_top_500
1,,765x710,,panel_side_left_500
1,,765x710,,panel_side_right_500
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2782GK,,,V-Core 3 Enclosure - Printed Parts Set (Green)
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,,,,3030_end_cap_green
1,,,,3030_spool_holder_guide_green
4,,,,door_hinge_door_green
4,,,,door_hinge_frame_green
2,,,,door_magnet_holder_green
2,,,,enclosure_filler_green
4,,,,lid_interface_green
4,,,,lid_tiedown_green
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2783GK,,,V-Core 3 Enclosure - Printed Parts Set (Black)
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,,,,3030_end_cap_black
1,,,,3030_spool_holder_guide_black
4,,,,door_hinge_door_black
4,,,,door_hinge_frame_black
2,,,,door_magnet_holder_black
2,,,,enclosure_filler_black
4,,,,lid_interface_black
4,,,,lid_tiedown_black
