,,,,
,SKU,,,Product Name
,HW2649GK,,,Rat Rig V-Core 3 - 300mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,420,,T-SLOT 3030 - Black Anodized 1000mm
6,HW306BRC,440,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,450,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,505,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,510,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,422,,V-SLOT 2020 - Black Anodized 1000mm
4,HW2036GC,,,Linear Rail - MGN12 400mm + MGN12C carriage
2,HW2353GC,,,Linear Rail - MGN12 350mm + MGN12C carriage
3,HW2191SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 380mm
1,HW2198PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 329*329*6mm
1,HW1653GC,4200,,Timing Belt  - 2GT 9mm (By the meter)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2650GK,,,Rat Rig V-Core 3 - 400mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,520,,T-SLOT 3030 - Black Anodized 1000mm
6,HW306BRC,540,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,550,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,605,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,610,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,522,,V-SLOT 2020 - Black Anodized 1000mm
4,HW2034GC,,,Linear Rail - MGN12 500mm + MGN12C carriage
2,HW2354GC,,,Linear Rail - MGN12 450mm + MGN12C carriage
3,HW2192SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 480mm
1,HW2199PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 429*429*6mm
1,HW1653GC,5000,,Timing Belt  - 2GT 9mm (By the meter)
