,,,,
,SKU,,,Product Name
,HW2829GK,,,Rat Rig Spool Holder Kit V2.0 - Universal - Hardware only
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,234,,T-SLOT 3030 - Black Anodized 1000mm
1,HW306BRC,87,,T-SLOT 3030 - Black Anodized 1000mm
2,HW1285SC,,,Cap Head Screw M5 (Single) (Length: 10mm)
8,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
4,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
2,HW1305BC,,,Inside Hidden Corner Bracket - for 3030
2,HW1383NC,,,T-Nut - Drop In for 3030 - M5 (Single)
8,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
8,HW2746NC,,,Washer Simple M6 - Black 12.9 Steel
,,,,
,,,,
,SKU,,,Product Name
,HW2790GK,,,Rat Rig Spool Holder Kit V2.0 - Printed Parts - GREEN PETG
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,,,,3030_end_cap_green
1,,,,3030_spool_holder_green
,,,,
,,,,
,SKU,,,Product Name
,HW2789GK,,,Rat Rig Spool Holder Kit V2.0 - Printed Parts - BLACK PETG
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,,,,3030_end_cap_black
1,,,,3030_spool_holder_black
,,,,
,,,,
,SKU,,,Product Name
,HW2831GK,,,Rat Rig Spool Holder Kit V2.0 - Green
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2829GK,,,Rat Rig Spool Holder Kit V2.0 - Universal - Hardware only
1,HW2790GK,,,Rat Rig Spool Holder Kit V2.0 - Printed Parts - GREEN PETG
,,,,
,,,,
,SKU,,,Product Name
,HW2788GK,,,Rat Rig Spool Holder Kit V2.0 - Black
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW2829GK,,,Rat Rig Spool Holder Kit V2.0 - Universal - Hardware only
1,HW2789GK,,,Rat Rig Spool Holder Kit V2.0 - Printed Parts - BLACK PETG
