,,,,
,SKU,,,Product Name
,HW2649GK,,,Rat Rig V-Core 3 - 300mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,420,,T-SLOT 3030 - Black Anodized 1000mm
6,HW306BRC,440,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,450,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,505,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,510,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,422,,V-SLOT 2020 - Black Anodized 1000mm
4,HW2036GC,,,Linear Rail - MGN12 400mm + MGN12C carriage
2,HW2353GC,,,Linear Rail - MGN12 350mm + MGN12C carriage
1,HW1653GC,4000,,Timing Belt  - GT2 9mm (By the meter)
1,HW2198PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 329*329*6mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW2650GK,,,Rat Rig V-Core 3 - 400mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW306BRC,520,,T-SLOT 3030 - Black Anodized 1000mm
6,HW306BRC,540,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,550,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,605,,T-SLOT 3030 - Black Anodized 1000mm
4,HW306BRC,610,,T-SLOT 3030 - Black Anodized 1000mm
1,HW201BRC,522,,V-SLOT 2020 - Black Anodized 1000mm
4,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
20,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
20,HW1821NC,,,T-Nut - Drop In for 3030 - M3 (Single)
4,HW1665NC,,,T-Nut - Drop In for 2020 - M3 (Single)
4,HW2034GC,,,Linear Rail - MGN12 500mm + MGN12C carriage
2,HW2354GC,,,Linear Rail - MGN12 450mm + MGN12C carriage
1,HW1653GC,5100,,Timing Belt  - GT2 9mm (By the meter)
