,,,,
,SKU,,,Product Name
,HW3073GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 200mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW306BRC,610,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,405,,T-SLOT 3030 - Black Anodized 1000mm
1,HW306BRC,340,,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3074GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 300mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW306BRC,760,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,505,,T-SLOT 3030 - Black Anodized 1000mm
1,HW306BRC,440,,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3075GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 400mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW306BRC,860,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,605,,T-SLOT 3030 - Black Anodized 1000mm
1,HW306BRC,540,,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3076GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 500mm Specific Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW306BRC,960,,T-SLOT 3030 - Black Anodized 1000mm
2,HW306BRC,705,,T-SLOT 3030 - Black Anodized 1000mm
1,HW306BRC,640,,T-SLOT 3030 - Black Anodized 1000mm
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3077GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Base parts kit (all versions)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
6,HW1914PC,,,Joining Plate for 3030 - T - Black Anodized
4,HW3056PC,,,Rat Rig V-Core 3 - Enclosure v2.0 - Idler Plate v1.0
4,HW1555GC,,,V-Slot Door Handle
40,HW2828GC,,,Magnet - Neodymium disc shape - 10mm x 4mm
2,HW1016NC,,,Aluminium Spacer - 3mm
68,HW1314NC,,,Washer Simple M6
125,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
8,HW2827SC,,,Cap Head Screw M6 (Single) (Length: 16mm)
2,HW2074SC,,,Cap Head Screw M5 (Single) (Length: 45mm)
28,HW1311NC,,,Hex Locking Nut - M6
105,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
1,HW2943GC,5338,,Foam (meter) - 1mm x 8mm x 1000mm - Adhesive 3M - EVA material
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3078GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Split Panel Extra Parts
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,HW1555GC,,,V-Slot Door Handle
8,HW2828GC,,,Magnet - Neodymium disc shape - 10mm x 4mm
12,HW1314NC,,,Washer Simple M6
16,HW1836SC,,,Cap Head Screw M6 (Single) (Length: 12mm)
4,HW2827SC,,,Cap Head Screw M6 (Single) (Length: 16mm)
8,HW1311NC,,,Hex Locking Nut - M6
12,HW1361NC,,,T-Nut - Drop In for 3030 - M6 (Single)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3079GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Printed Parts (ASA)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,,,,xy_motor_cage_top_left_3.1_cutout
1,,,,xy_motor_cage_top_right_3.1_cutout
10,,,,panel_magnet_holder
10,,,,panel_magnet_mount
2,,,,3030_panel_mount_horizontal
2,,,,3030_panel_mount_vertical (Split door only)
1,,,,shelf_left_(size)
1,,,,shelf_right_(size)
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3080GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 200mm (No Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3077GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Base parts kit (all versions)
1,HW3073GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 200mm Specific Parts
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3081GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 300mm (No Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3077GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Base parts kit (all versions)
1,HW3074GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 300mm Specific Parts
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3082GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 400mm (No Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3077GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Base parts kit (all versions)
1,HW3075GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 400mm Specific Parts
,,,,
,,,,
,,,,
,SKU,,,Product Name
,HW3083GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 500mm (No Printed Parts)
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
1,HW3077GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - Base parts kit (all versions)
1,HW3076GK,,,Rat Rig V-Core 3 - Enclosure 2.0 - 500mm Specific Parts
