,,,,
,SKU,,,Product Name
,HW2946MK,,,Rat Rig V-Core 3 - Upgrade Kit - v3.0 to v3.1
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
2,HW2949PC,,1,V-Core 3.1 - XY_JOINER_PLATE_V1.1
3,HW2950WC,,2,Rat Rig Bi-Material Lead Screw Decoupler
3,HW2990GC,,3,Coupler - Rigid Type - Black 25*20mm - 5mm to 8mm
3,HW2915GC,,4,Leadscrew Nut - POM - TR8*4
1,HW1653GC,5800,5,Timing Belt  - 2GT 9mm (By the meter)
24,HW2947WC,,6,Ball Bearing - F695ZZ
12,HW2948WC,,7,Ball Bearing - 695ZZ
3,HW1309WC,,8,Ball Bearing F688ZZ Flanged 8 x 16 x 5
6,HW2126GC,,9,Dowel Pin - 3.0mm x 35.0mm
12,HW1502SC,,10,Cap Head Screw M3 (Single) (Length: 8mm)
16,HW1292SC,,11,Cap Head Screw M3 (Single) (Length: 12mm)
2,HW1868SC,,12,Cap Head Screw M3 (Single) (Length: 35mm)
1,HW2110SC,,13,Cap Head Screw M5 (Single) (Length: 18mm)
7,HW1836SC,,14,Cap Head Screw M6 (Single) (Length: 12mm)
6,HW1874SC,,15,Countersink Screw M3 (Single) (Length: 12mm)
20,HW1251NC,,16,Hex Locking Nut - M3
6,HW1361NC,,17,T-Nut - Drop In for 3030 - M6 (Single)
5,HW1630NC,,18,Mini Precision Shim - 8 x 5 x 1mm - C
1,HW3006MK,,19,Rat Rig V-Core 3.1 - EVA 3.0 Hardware Pack
